epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
199,0.0752,0.0045,0.0691,0.0738,2.8645,0.1253,0.1246,71
200,0.0748,0.0046,0.0688,0.0740,2.8414,0.1556,0.1637,71
201,0.0744,0.0047,0.0683,0.0732,2.7557,0.1878,0.1713,71
202,0.0744,0.0045,0.0686,0.0740,2.7128,0.1569,0.1569,71
203,0.0743,0.0044,0.0685,0.0742,2.7507,0.1582,0.1466,71
204,0.0742,0.0045,0.0683,0.0734,2.7446,0.1725,0.1623,71
205,0.0728,0.0045,0.0674,0.0721,2.3714,0.2504,0.2469,71
206,0.0736,0.0044,0.0678,0.0728,2.6870,0.1508,0.1441,71
207,0.0734,0.0043,0.0676,0.0729,2.7915,0.1493,0.1472,71
208,0.0735,0.0044,0.0679,0.0733,2.6087,0.1818,0.1762,71
209,0.0731,0.0044,0.0673,0.0725,2.6924,0.1706,0.1653,71
210,0.0732,0.0044,0.0674,0.0724,2.6836,0.1500,0.1492,71
211,0.0728,0.0043,0.0670,0.0723,2.6898,0.1705,0.1597,71
212,0.0732,0.0043,0.0674,0.0720,2.7446,0.1599,0.1602,71
213,0.0725,0.0042,0.0671,0.0725,2.4710,0.2143,0.2121,71
214,0.0728,0.0044,0.0671,0.0718,2.6181,0.1520,0.1482,71
215,0.0728,0.0042,0.0671,0.0717,2.7572,0.1351,0.1299,71
216,0.0724,0.0042,0.0667,0.0710,2.7279,0.1595,0.1551,71
217,0.0705,0.0048,0.0643,0.0654,2.7738,0.1677,0.1634,71
218,0.0687,0.0049,0.0623,0.0627,2.8887,0.1412,0.1380,71
219,0.0673,0.0048,0.0611,0.0613,2.8311,0.1550,0.1556,71
220,0.0671,0.0049,0.0609,0.0610,2.8199,0.1691,0.1683,71
221,0.0668,0.0049,0.0605,0.0609,2.8223,0.1700,0.1616,71
222,0.0664,0.0048,0.0603,0.0599,2.8587,0.1266,0.1292,71
223,0.0664,0.0047,0.0603,0.0610,2.8602,0.1420,0.1313,71
224,0.0669,0.0048,0.0606,0.0610,2.9060,0.1587,0.1586,71
225,0.0660,0.0049,0.0597,0.0601,2.8491,0.1649,0.1602,71
226,0.0665,0.0048,0.0603,0.0605,2.8687,0.1473,0.1412,71
227,0.0658,0.0045,0.0599,0.0606,2.7724,0.1474,0.1405,71
228,0.0652,0.0044,0.0594,0.0596,2.7227,0.1459,0.1510,71
229,0.0652,0.0044,0.0595,0.0605,2.7177,0.1747,0.1685,71
230,0.0656,0.0043,0.0598,0.0611,2.7186,0.1668,0.1558,71
231,0.0654,0.0043,0.0596,0.0604,2.8455,0.1310,0.1266,71
232,0.0655,0.0043,0.0596,0.0609,2.8029,0.1496,0.1401,71
233,0.0649,0.0043,0.0591,0.0605,2.8539,0.1252,0.1192,71
234,0.0655,0.0043,0.0597,0.0608,2.7239,0.1747,0.1788,71
235,0.0649,0.0043,0.0591,0.0599,2.8164,0.1483,0.1429,71
236,0.0647,0.0043,0.0589,0.0596,2.7584,0.1634,0.1589,71
237,0.0646,0.0043,0.0588,0.0600,2.7339,0.1759,0.1713,71
238,0.0632,0.0044,0.0573,0.0564,2.8709,0.1416,0.1346,71
239,0.0608,0.0050,0.0543,0.0507,3.0164,0.1619,0.1572,71
240,0.0594,0.0049,0.0532,0.0490,2.7610,0.2056,0.2017,71
241,0.0596,0.0049,0.0531,0.0485,3.0398,0.1118,0.1136,71
242,0.0594,0.0049,0.0530,0.0483,2.9487,0.1433,0.1339,71
243,0.0593,0.0049,0.0528,0.0482,3.0548,0.1202,0.1191,71
244,0.0595,0.0047,0.0532,0.0495,3.0703,0.1055,0.1037,71
245,0.0591,0.0047,0.0526,0.0492,3.0823,0.1186,0.1210,71
246,0.0588,0.0049,0.0523,0.0482,3.0475,0.1423,0.1408,71
247,0.0586,0.0048,0.0523,0.0477,2.9398,0.1418,0.1458,71
248,0.0588,0.0048,0.0524,0.0484,3.0408,0.1142,0.1158,71
249,0.0581,0.0048,0.0520,0.0482,2.7007,0.2280,0.2210,71
250,0.0588,0.0047,0.0526,0.0484,2.9167,0.1463,0.1416,71
251,0.0580,0.0046,0.0518,0.0477,2.9702,0.1435,0.1459,71
252,0.0584,0.0045,0.0522,0.0483,3.0344,0.1048,0.0998,71
253,0.0579,0.0046,0.0519,0.0470,2.8572,0.1466,0.1455,71
254,0.0584,0.0045,0.0523,0.0481,2.9297,0.1223,0.1192,71
255,0.0576,0.0045,0.0516,0.0471,2.7912,0.1814,0.1754,71
256,0.0585,0.0045,0.0524,0.0490,2.9412,0.1261,0.1240,71
257,0.0570,0.0043,0.0510,0.0469,2.9645,0.1251,0.1220,71
258,0.0573,0.0043,0.0513,0.0463,3.0112,0.1369,0.1288,71
259,0.0538,0.0047,0.0474,0.0376,3.1721,0.1171,0.1171,71
260,0.0535,0.0050,0.0465,0.0361,3.4670,0.0734,0.0716,71
261,0.0522,0.0050,0.0455,0.0360,3.2932,0.1225,0.1193,71
262,0.0523,0.0051,0.0455,0.0360,3.1842,0.1336,0.1230,71
263,0.0520,0.0049,0.0454,0.0354,3.1520,0.1153,0.1129,71
264,0.0520,0.0050,0.0451,0.0351,3.3341,0.0982,0.0957,71
265,0.0510,0.0048,0.0447,0.0344,2.9184,0.1878,0.1973,71
266,0.0517,0.0047,0.0453,0.0355,3.1651,0.1207,0.1102,71
267,0.0516,0.0047,0.0451,0.0351,3.2645,0.0952,0.0938,71
268,0.0517,0.0048,0.0451,0.0356,3.2751,0.1053,0.1070,71
269,0.0519,0.0047,0.0453,0.0356,3.3191,0.0927,0.0865,71
270,0.0512,0.0047,0.0449,0.0350,3.0757,0.1361,0.1333,71
271,0.0519,0.0048,0.0454,0.0364,3.1610,0.1257,0.1245,71
272,0.0509,0.0049,0.0443,0.0349,3.1230,0.1593,0.1604,71
273,0.0510,0.0046,0.0447,0.0353,3.1123,0.1094,0.1031,71
274,0.0515,0.0045,0.0450,0.0355,3.2895,0.0935,0.0952,71
275,0.0513,0.0048,0.0448,0.0351,3.2297,0.1089,0.1140,71
276,0.0513,0.0047,0.0449,0.0355,3.1485,0.1264,0.1211,71
277,0.0508,0.0048,0.0441,0.0345,3.2590,0.1139,0.1135,71
